location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2498781,"SiriJaya","pm10",19,"µg/m³","2024-06-22T23:00:00+00:00","2024-06-23T04:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","pm10",18,"µg/m³","2024-06-23T00:00:00+00:00","2024-06-23T05:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",3400,"particles/cm³","2024-06-22T01:00:00+00:00","2024-06-22T06:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",3900,"particles/cm³","2024-06-22T02:00:00+00:00","2024-06-22T07:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",3800,"particles/cm³","2024-06-22T03:00:00+00:00","2024-06-22T08:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2800,"particles/cm³","2024-06-22T04:00:00+00:00","2024-06-22T09:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2000,"particles/cm³","2024-06-22T05:00:00+00:00","2024-06-22T10:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2000,"particles/cm³","2024-06-22T06:00:00+00:00","2024-06-22T11:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2100,"particles/cm³","2024-06-22T07:00:00+00:00","2024-06-22T12:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2100,"particles/cm³","2024-06-22T08:00:00+00:00","2024-06-22T13:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2000,"particles/cm³","2024-06-22T09:00:00+00:00","2024-06-22T14:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2000,"particles/cm³","2024-06-22T10:00:00+00:00","2024-06-22T15:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2100,"particles/cm³","2024-06-22T11:00:00+00:00","2024-06-22T16:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2100,"particles/cm³","2024-06-22T12:00:00+00:00","2024-06-22T17:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2100,"particles/cm³","2024-06-22T13:00:00+00:00","2024-06-22T18:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2500,"particles/cm³","2024-06-22T14:00:00+00:00","2024-06-22T19:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2300,"particles/cm³","2024-06-22T15:00:00+00:00","2024-06-22T20:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",3500,"particles/cm³","2024-06-22T16:00:00+00:00","2024-06-22T21:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",5500,"particles/cm³","2024-06-22T17:00:00+00:00","2024-06-22T22:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",7400,"particles/cm³","2024-06-22T18:00:00+00:00","2024-06-22T23:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",4200,"particles/cm³","2024-06-22T19:00:00+00:00","2024-06-23T00:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2900,"particles/cm³","2024-06-22T20:00:00+00:00","2024-06-23T01:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2600,"particles/cm³","2024-06-22T21:00:00+00:00","2024-06-23T02:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2100,"particles/cm³","2024-06-22T22:00:00+00:00","2024-06-23T03:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2100,"particles/cm³","2024-06-22T23:00:00+00:00","2024-06-23T04:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","um003",2000,"particles/cm³","2024-06-23T00:00:00+00:00","2024-06-23T05:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",64,"%","2024-06-22T01:00:00+00:00","2024-06-22T06:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",64,"%","2024-06-22T02:00:00+00:00","2024-06-22T07:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",62,"%","2024-06-22T03:00:00+00:00","2024-06-22T08:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",58,"%","2024-06-22T04:00:00+00:00","2024-06-22T09:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",55,"%","2024-06-22T05:00:00+00:00","2024-06-22T10:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",53,"%","2024-06-22T06:00:00+00:00","2024-06-22T11:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",50,"%","2024-06-22T07:00:00+00:00","2024-06-22T12:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",47,"%","2024-06-22T08:00:00+00:00","2024-06-22T13:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",46,"%","2024-06-22T09:00:00+00:00","2024-06-22T14:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",44,"%","2024-06-22T10:00:00+00:00","2024-06-22T15:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",44,"%","2024-06-22T11:00:00+00:00","2024-06-22T16:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",45,"%","2024-06-22T12:00:00+00:00","2024-06-22T17:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",50,"%","2024-06-22T13:00:00+00:00","2024-06-22T18:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
2498781,"SiriJaya","relativehumidity",52,"%","2024-06-22T14:00:00+00:00","2024-06-22T19:30:00+05:30","Asia/Kolkata",12.909153635368195,77.52476183092863,,,,"AirGradient","AirGradient"
